datetime,open,high,low,close
2022-08-08T14:30:00+05:30,17717.25,17718.6,17699.05,17704.1
2022-08-08T14:35:00+05:30,17704.15,17707.1,17690.65,17698.05
2022-08-08T14:40:00+05:30,17697.95,17703.95,17674.25,17676.2
2022-08-08T14:45:00+05:30,17675.6,17711.7,17661.35,17708.35
2022-08-08T14:50:00+05:30,17708.3,17720.25,17703.5,17712.5
2022-08-08T14:55:00+05:30,17701.85,17728.75,17701.85,17715.3
2022-08-08T15:00:00+05:30,17714.8,17724.95,17709.5,17719.85
2022-08-08T15:05:00+05:30,17720.15,17721.45,17700.45,17703.55
2022-08-08T15:10:00+05:30,17705,17705,17688,17693.4
2022-08-08T15:15:00+05:30,17692.85,17700.5,17680.25,17681.5
2022-08-08T15:20:00+05:30,17681.25,17688.05,17677.3,17687.6
2022-08-08T15:25:00+05:30,17686.65,17705.65,17685.8,17699.35
2022-08-10T09:15:00+05:30,17744.5,17745.95,17643.85,17689.05
2022-08-10T09:20:00+05:30,17690.85,17728.25,17683.1,17717.7
2022-08-10T09:25:00+05:30,17718.65,17740.55,17696.9,17705.65
2022-08-10T09:30:00+05:30,17707.2,17714,17678.35,17692.15
2022-08-10T09:35:00+05:30,17691.4,17693.7,17653.8,17658.75
2022-08-10T09:40:00+05:30,17657.05,17709.55,17650.35,17707.3
2022-08-10T09:45:00+05:30,17707.7,17708.05,17672,17672
2022-08-10T09:50:00+05:30,17673.45,17693.85,17665.35,17688.9
2022-08-10T09:55:00+05:30,17690.65,17690.65,17662.7,17662.7
2022-08-10T10:00:00+05:30,17663.1,17674.45,17659.45,17662.7
2022-08-10T10:05:00+05:30,17663.25,17692.4,17655.6,17692.4
2022-08-10T10:10:00+05:30,17694,17736.2,17687.1,17731.95
2022-08-10T10:15:00+05:30,17733.85,17760,17731.7,17758.2
2022-08-10T10:20:00+05:30,17759.05,17764.9,17745.2,17751.6
2022-08-10T10:25:00+05:30,17750.5,17751.2,17736.9,17747.5
2022-08-10T10:30:00+05:30,17747,17754.05,17732.25,17732.7
2022-08-10T10:35:00+05:30,17733.2,17738.45,17727.4,17732.6
2022-08-10T10:40:00+05:30,17732.45,17739.45,17727.15,17737.95
2022-08-10T10:45:00+05:30,17736.85,17748.1,17734.75,17737.2
2022-08-10T10:50:00+05:30,17736.7,17742.35,17728.95,17730.05
2022-08-10T10:55:00+05:30,17730.1,17733.65,17713.65,17717.5
2022-08-10T11:00:00+05:30,17718.65,17725.85,17715.25,17719.05
2022-08-10T11:05:00+05:30,17719.3,17727.95,17716.75,17726.05
2022-08-10T11:10:00+05:30,17725.8,17729.25,17709.4,17715.9
2022-08-10T11:15:00+05:30,17715.55,17715.55,17697.95,17699.8
2022-08-10T11:20:00+05:30,17699.65,17702.15,17685.3,17694.15
2022-08-10T11:25:00+05:30,17693.25,17720.3,17692.6,17718.1
2022-08-10T11:30:00+05:30,17716.15,17724.5,17713.2,17718
2022-08-10T11:35:00+05:30,17718.55,17724.6,17713.95,17721.25
2022-08-10T11:40:00+05:30,17720.75,17720.85,17709.55,17712.4
2022-08-10T11:45:00+05:30,17712.55,17718.25,17702.9,17716.8
2022-08-10T11:50:00+05:30,17717.45,17720.55,17708.55,17712.7
2022-08-10T11:55:00+05:30,17711.85,17712.75,17701.25,17704.5
2022-08-10T12:00:00+05:30,17704.1,17709.9,17696.9,17708.4
2022-08-10T12:05:00+05:30,17708.5,17709.2,17688.45,17698.6
2022-08-10T12:10:00+05:30,17699.3,17716.1,17697.05,17714.55
2022-08-10T12:15:00+05:30,17715,17727.9,17715,17723.55
2022-08-10T12:20:00+05:30,17722.6,17733.3,17719.7,17730.8
2022-08-10T12:25:00+05:30,17729.8,17730.75,17722.3,17723.75
2022-08-10T12:30:00+05:30,17724.35,17724.45,17711.55,17720.65
2022-08-10T12:35:00+05:30,17721.55,17727.8,17709.05,17723.2
2022-08-10T12:40:00+05:30,17723.85,17734.95,17716.45,17730.9
2022-08-10T12:45:00+05:30,17731.95,17735.2,17724.6,17728.25
2022-08-10T12:50:00+05:30,17728.05,17733,17719.3,17721.6
2022-08-10T12:55:00+05:30,17722.2,17726.35,17716.85,17718.65
2022-08-10T13:00:00+05:30,17718.45,17730.35,17706.05,17716.05
2022-08-10T13:05:00+05:30,17717.9,17720.75,17709.55,17711.55
2022-08-10T13:10:00+05:30,17711.1,17715.75,17705.4,17711.75
2022-08-10T13:15:00+05:30,17711.65,17719.35,17708.25,17718.6
2022-08-10T13:20:00+05:30,17718.7,17721.4,17711.75,17711.75
2022-08-10T13:25:00+05:30,17712.5,17715.5,17673.7,17691.05
2022-08-10T13:30:00+05:30,17692,17697.55,17685.1,17695.55
2022-08-10T13:35:00+05:30,17695.95,17698,17687.4,17692
2022-08-10T13:40:00+05:30,17693.5,17704.8,17686.15,17700.7
2022-08-10T13:45:00+05:30,17701.1,17704.75,17689.4,17690.15
2022-08-10T13:50:00+05:30,17690.05,17703.55,17687.9,17690.1
2022-08-10T13:55:00+05:30,17690.3,17694.95,17685.3,17693.25
2022-08-10T14:00:00+05:30,17694.35,17703.25,17689.75,17703.25
2022-08-10T14:05:00+05:30,17704,17709.8,17700.05,17704.85
2022-08-10T14:10:00+05:30,17704.9,17727.05,17700.6,17725.6
2022-08-10T14:15:00+05:30,17725.65,17736.5,17722.5,17731.95
2022-08-10T14:20:00+05:30,17732.4,17732.85,17720.2,17728.4
2022-08-10T14:25:00+05:30,17730.75,17730.75,17720,17724.35
2022-08-10T14:30:00+05:30,17724.15,17725.95,17709.05,17715.5
2022-08-10T14:35:00+05:30,17716.25,17721.4,17699.85,17703.7
2022-08-10T14:40:00+05:30,17703.4,17716,17700.55,17711.2
2022-08-10T14:45:00+05:30,17710.8,17714.3,17705.4,17706.3
2022-08-10T14:50:00+05:30,17706.15,17712.85,17701.25,17704.9
2022-08-10T14:55:00+05:30,17704.7,17707.75,17700.3,17704.25
2022-08-10T15:00:00+05:30,17705.65,17718.1,17684.4,17705.85
2022-08-10T15:05:00+05:30,17705.95,17712.9,17697.25,17711.5
2022-08-10T15:10:00+05:30,17710.3,17712.2,17696.4,17696.4
2022-08-10T15:15:00+05:30,17697.75,17701.15,17693.05,17695.6
2022-08-10T15:20:00+05:30,17695.15,17701.2,17684.95,17700.1
2022-08-10T15:25:00+05:30,17699.1,17700.1,17685.2,17687.45
2022-08-11T09:15:00+05:30,17911.35,17928.65,17864.35,17869.1
2022-08-11T09:20:00+05:30,17868.15,17879.2,17858.3,17869.2
2022-08-11T09:25:00+05:30,17870,17886.05,17865.25,17876.8
2022-08-11T09:30:00+05:30,17877.45,17900.75,17871.95,17893.25
2022-08-11T09:35:00+05:30,17893.55,17901,17885.75,17893.95
2022-08-11T09:40:00+05:30,17895.05,17923.15,17893.65,17920.75
2022-08-11T09:45:00+05:30,17920.5,17934.75,17919.25,17933.6
2022-08-11T09:50:00+05:30,17933.55,17933.95,17916.5,17923.75
2022-08-11T09:55:00+05:30,17924.55,17936.75,17922.1,17931.25
2022-08-11T10:00:00+05:30,17932.8,17945.75,17921.7,17926.85
2022-08-11T10:05:00+05:30,17926.45,17930.9,17923.35,17926.1
2022-08-11T10:10:00+05:30,17925.85,17934.95,17919.45,17921.45
2022-08-11T10:15:00+05:30,17922.4,17935.2,17921,17930.8
2022-08-11T10:20:00+05:30,17930.3,17939.95,17929.55,17937.7
2022-08-11T10:25:00+05:30,17937.5,17939.75,17934.1,17937.2
2022-08-11T10:30:00+05:30,17936.9,17951.45,17926.15,17945.05
2022-08-11T10:35:00+05:30,17943.8,17947.65,17938.1,17947.05
2022-08-11T10:40:00+05:30,17946.75,17946.8,17938.05,17938.4
2022-08-11T10:45:00+05:30,17938.85,17941.2,17930.85,17934.75
2022-08-11T10:50:00+05:30,17933.9,17943.35,17931.7,17942.7
2022-08-11T10:55:00+05:30,17942.15,17945.4,17934.55,17943.55
2022-08-11T11:00:00+05:30,17943.65,17947.1,17931.75,17933.4
2022-08-11T11:05:00+05:30,17933.65,17937.1,17932.2,17936.85
2022-08-11T11:10:00+05:30,17936.55,17940.6,17934.6,17939.95
2022-08-11T11:15:00+05:30,17941.05,17943.05,17936.55,17942.1
2022-08-11T11:20:00+05:30,17941.85,17944.65,17936.8,17939.45
2022-08-11T11:25:00+05:30,17939.15,17941.4,17921.5,17935.9
2022-08-11T11:30:00+05:30,17936.15,17937.55,17929.35,17930.55
2022-08-11T11:35:00+05:30,17930.15,17937.45,17924.2,17929.5
2022-08-11T11:40:00+05:30,17929.1,17930.8,17919.7,17924.75
2022-08-11T11:45:00+05:30,17924.35,17933.95,17920.25,17931.95
2022-08-11T11:50:00+05:30,17932.4,17941.2,17929.65,17939
2022-08-11T11:55:00+05:30,17939.05,17947.15,17934.7,17946.6
2022-08-11T12:00:00+05:30,17946.15,17952.95,17944,17946.7
2022-08-11T12:05:00+05:30,17946.95,17948,17937.3,17946.15
2022-08-11T12:10:00+05:30,17945.85,17952.5,17940,17945.8
2022-08-11T12:15:00+05:30,17945.85,17972.25,17942.6,17966.45
2022-08-11T12:20:00+05:30,17966.7,17975.7,17965.7,17974.15
2022-08-11T12:25:00+05:30,17974.1,17977.55,17968.35,17975.7
2022-08-11T12:30:00+05:30,17977.65,17980.8,17968.75,17972
2022-08-11T12:35:00+05:30,17972.1,17974.75,17965.95,17968.85
2022-08-11T12:40:00+05:30,17968.75,17981.4,17967.95,17978.45
2022-08-11T12:45:00+05:30,17978.7,17982.35,17975.8,17976.35
2022-08-11T12:50:00+05:30,17975.55,17978.55,17967.3,17978.1
2022-08-11T12:55:00+05:30,17978.45,17984.05,17976.05,17977.75
2022-08-11T13:00:00+05:30,17977.05,17981.45,17965.75,17978.3
2022-08-11T13:05:00+05:30,17978.1,17986.2,17977.85,17982.65
2022-08-11T13:10:00+05:30,17981.45,17989.75,17980.45,17984.25
